"Dia","Cantidad_Streamers_Con_Pico","Promedio_Seguidores_Por_Stream"
"Saturday","159","3513"
"Sunday","358","3524"
"Monday","138","3065"
"Friday","78","3121"
"Tuesday","127","3236"
"Thursday","65","3360"
"Wednesday","74","3566"
